Size	P1	P2	P3	P4
1000	130727.68	110352.53	200202.84	145356.62
2000	260667.16	116410.34	246143.06	379578.44
3000	129743.96	84218.6	119445.3	86214.32
4000	175539.16	112864.7	147544.4	104854.94
5000	185121.6	132301.64	142906.38	114382.82
6000	237714.8	143185.77	154955.1	137768.48
7000	261286.88	172211.4	180647.28	167885.86
8000	285137.8	188910.0	194007.4	178539.31
9000	317352.25	208549.81	212781.1	187908.88
10000	361569.28	228761.66	226515.12	199508.42
11000	388825.53	242455.55	238253.64	219026.69
12000	433323.47	261595.16	253081.42	235165.34
13000	468310.8	287404.3	274099.72	253824.52
14000	509695.12	300655.2	281813.34	260906.44
15000	538019.06	323677.8	303327.06	286794.0
16000	579065.5	340262.16	335340.3	300825.7
17000	609502.0	362597.88	329714.22	309186.2
18000	664613.6	396056.9	358589.97	334768.84
19000	702301.75	419149.62	380170.75	358859.16
20000	767074.75	453066.7	407317.03	392862.03
21000	789948.06	463921.9	419382.72	378642.56
22000	862258.75	486440.97	437925.7	409154.6
23000	900206.4	516549.8	468339.53	411378.97
24000	959447.44	542082.25	486829.2	444039.97
25000	1013413.6	572458.06	492499.6	457917.44
26000	1093049.5	593929.5	508660.53	482888.1
27000	1140430.6	616184.8	534288.2	506997.44
28000	1183897.6	648965.3	545973.6	507098.88
29000	1293113.5	688259.94	573845.3	535581.94
30000	1340809.0	721531.7	586249.2	568351.2
31000	1365238.5	718392.94	591542.6	567333.2
32000	1461193.5	762555.1	632699.6	572076.7
33000	1584494.2	807961.1	671983.4	611977.06
34000	1585987.9	787784.56	638245.8	593196.6
35000	1687979.2	856735.6	678368.56	643996.8
36000	1761160.6	890821.6	702900.06	646854.94
37000	1785779.0	869858.75	714770.9	635209.2
38000	1919111.5	933630.06	716590.9	667828.25
39000	1996095.4	949590.3	723649.8	680505.94
40000	2027619.4	988934.94	733141.7	715781.94
41000	2174577.5	1042204.9	822682.94	761072.94
42000	2193525.5	1022375.5	790499.6	743647.25
43000	2273874.2	1115449.8	825197.44	789290.4
44000	2441821.2	1127645.5	852780.56	807771.75
45000	2541081.5	1179125.5	873533.5	827941.06
46000	2683323.2	1198965.0	884715.44	863899.94
47000	4561755.0	2152587.5	1623633.8	1853864.6
48000	3669809.5	1730665.1	1335785.6	1230054.1
49000	3807455.2	1623427.4	1266030.1	1126505.1
50000	3010172.5	1365589.8	986923.2	955673.94
